Name,Phone,Rating,Rating Count,Address
S S Collection,+(91)-11-23876797,0.0,0,"2091/21, Bhagirath Palace, Delhi - 110006, Bajrang Bazar, Chah Indara"
Golden Thread Private Limit..,+(91)-9810002979,0.0,0,"256, Okhla Industrial Estate, New Delhi, Delhi - 110001"
Embroidery,+(91)-11-22324797,0.0,0,"L-2, Sidh Apartments, Plot No.107, I P Extension, New Delhi, Delhi - 110001"
N R Handicrafts,+(91)-11-29541000,0.0,0,"C-106, Pancheel Vihar, Malviya Nagar, Malviya Nagar, New, Delhi - 110001"
Wintex Craft,+(91)-9818332586,0.0,0,"B771, Netaji Nagar, New, Sarojini Nagar, Delhi - 110023"
Cheap Handloom House,+(91)-11-23919681,0.0,0,"16, Krishna Market, New, Chandni Chowk, Delhi - 110006"
Montu Bhai Sons Kinar Wale,+(91)-9818606521,0.0,0,"Shop No.2818, Kinari Bazar Road, Dharam Pura, New, Chandni Chowk, Delhi - 110006"
Rana beads centre,+(91)-11-23288504,3.5,2,"2948, Chandni Chowk, Delhi - 110006, Katra Khushal RAI,Kinari Bzr"
Parsvnath Fabrics,+(91)-11-20319482,0.0,0,"1350, Katra Lehswan, Chandani Chowk, New, Chandni Chowk, Delhi - 110006"
Sami Crafts,+(91)-11-23280403,0.0,0,"Shop No. 2084, Bulbuli Khana, Turkman Gate, Delhi - 110006, Near Kala Masjid"
Prianjli Traders,+(91)-9210004096,0.0,0,"Kinari Bazar Road, Dharam Pura, New, Chandni Chowk, Delhi - 110006"
Avneet Art,+(91)-9313308299,0.0,0,"1202a, 1st Floor, Chah Rahat, Jama Masjid Road, Vakil Pura, New, Chandni Chowk, Delhi - 110006"
Vardhman Handicrafts,+(91)-9811442849,0.0,0,"House No.1303, Vakilpura, Gali Guliyan, Delhi - 110006, Near Jama Masjid"
R K Yogeshver,+(91)-9810781677,0.0,0,"Vakil Pura, New, Bazar Gulian Road, Chandni Chowk, Delhi - 110006"
Lhamo Tibetan Shops,+(91)-9811033057,0.0,0,"House, 196, Shop # 6, Samyeling Tibetan Colony, Majnu Ka Tilla, Majnu Ka Tilla, Delhi - 110054"
Lal & Sons Shoes Rack,+(91)-11-23239006,0.0,0,"Shop No 3033, Asaf Ali Road, Delhi - 110002, Near Darya Ganj"
Liverty Handicrafts,+(91)-9213232164,0.0,0,"1872, Handicrafts Mkt, Darya Ganj, Muhammad Deen Ilachi Marg, Phatak Teliyan, Kalyanpura, Old Delhi,, Turkman Gate, Delhi - 110006"
Nepal Arts,+(91)-9990671066,0.0,0,"Jama Masjid Road, Hippy Wada, New, Chandni Chowk, Delhi - 110006"
Aslam & Sons,+(91)-9899913096,0.0,0,"3026, Kalan Masjid, Main Road, Turkman Gate, Delhi - 110006"
Afzal Handicrafts,+(91)-9818810340,0.0,0,"1591, Gali Chandi, Sita Ram Bazar, New, Chandni Chowk, Delhi - 110006"
Sanjeev Art,+(91)-11-25596804,0.0,0,"1251,, Jama Masjid, Jama Masjid, Delhi - 110006, Chahrahat"
Hind Handicrafts,+(91)-9211319867,0.0,0,"2974, Kalan Masjid, Darya Ganj, Phatak Teliyan, Ahata Mir Bukhari, Turkman Gate, Delhi - 110006"
Krishnayan,+(91)-9810283743,0.0,0,"5, Kg Marg, Mandi House, New, Vakil Lane, Mandi House, Delhi - 110001"
Chikan Handicrafts,+(91)-11-26848041,0.0,0,"B-13/2, Phase-2,, Okhala Industrial Area, New Delhi, Delhi - 110001"
Uae Handicrafts,+(91)-9810563224,0.0,0,"5/6, Iind Floor, Raza Market, New, Janpath Road, Delhi - 110001"
S R Crafts,+(91)-9899107001,0.0,0,"Shop No. 2906, Bulbuli Khana, New, Turkman Gate, Delhi - 110006, Near Amrood Wali Masjid"
S S Crafts,+(91)-9899614219,0.0,0,"2369, Kucha Meer Hashim Daryaganj, Daryaganj, New, Delhi - 110006"
Mbk Crimics Handicraft Item..,+(91)-11-24121721,0.0,0,"Shop No 6&7, Vegetable Market, New, Sarojini Nagar, Delhi - 110023"
Tibetain Arts & Craft,+(91)-9953060747,0.0,0,"283, Gali Kunj, Dariba Kalan Road, Delhi - 110006"
Kapoor Handicrafts,+(91)-11-22963757,0.0,0,"Lajpat Rai Market, New, Netaji Subhash Marg, Chandni Chowk, Delhi - 110006"
Vipul Art Gallery,+(91)-9560586640,0.0,0,"Shop No-29, Nehru Gali, Burari, Delhi - 110084, Sant Nagar, Kinari Bzr Walo Ki Shop"
Hill Rose Pet Shop,+(91)-9871353634,0.0,0,"Shop No 7b, Court Market, Jama Masjid, Delhi - 110006"
Var Craft Pvt Ltd,+(91)-9999011848,0.0,0,"141, August Kranti Bhavan, R K Puram, New, Bhikaji Cama Place, Delhi - 110066"
Doley Hindicarft,+(91)-9896718154,0.0,0,"Dilli Haat, New, Sarojini Nagar, Delhi - 110023"
Narshing & Company,+(91)-11-23260036,0.0,0,"No.2866, Kucha Chalan, Khabas Pura, Dariya Ganj, New, Kucha Chelan Road, Delhi - 110002"
Ajay Handicrafts,+(91)-11-22128276,0.0,0,"Shop No. 29, Inside Red Fort Baoli, Lal Qila, Chandni Chowk, Delhi - 110006"
Crasol India,+(91)-8587894776,0.0,0,"3003, Ground Floor, Kucha Neel Kantha, Darya Ganj, Delhi - 110002, Near Golcha Cinema"
M B Creation,+(91)-9212936705,0.0,0,"3073, Partapstreet, Golcha Cinema, Darya Ganj, Delhi - 110002"
LNJP Handicrafts,+(91)-9212910848,0.0,0,"Delhi Gate, Delhi - 110002"
Asian Metal Art,+(91)-11-23232346,0.0,0,"Shop No. 3034/1, Main Bazar, Turkman Gate, Phatak Teliyan, Muhammad Deen Ilachi Marg, Delhi Gate, Delhi - 110002"
Rohit Crafts Village,+(91)-9810383816,0.0,0,"B-1/72, Safdarjung Enclave, Ansari Nagar, Ansari Nagar, New, Delhi - 110029"
Souvenir Shop,+(91)-11-24674403,0.0,0,"Souvenir Shop, Dilli Haat, West, Kidwai Nagar, Delhi - 110023"
Chopra 58 Store,+(91)-11-24674858,0.0,0,"Shop No. 33, Main Market, Laxmi Bai Nagar, New, Delhi - 110023, Near Ina Metro Station Gate No.3"
Vibrations,+(91)-11-32516843,0.0,0,"E15 B K Dutt Colony, New, Gurudwara Road, Delhi - 110003"
Kashmir Haat Ina,+(91)-8468002219,0.0,0,"Block D, East , New, Kidwai Nagar, Delhi - 110023"
Lama Himalayan Treasures Sh..,+(91)-11-41729212,0.0,0,"6a, Ground Floor, New, Hauz Khas, Delhi - 110016, Near Deer Park"
Wood Craft Interior,+(91)-9810445464,3.9,38,"Green Park, Delhi - 110016"
N K Handicrafts,+(91)-9818640877,0.0,0,"E 679, Street No 1, Jagjit Nagar, Shahdara, Nayagaon, Delhi - 110053"
Marine Space Craft,,1.0,1,"Kalkaji, Kalkaji, Delhi - 110038"
Indian Silks,+(91)-9312888087,0.0,0,"94, Phase I, Udyog Vihar Phase 1, Sector 20, Gurugram, Udyog Vihar Ii Road, Gurgaon - 122016"
Creative Creations,+(91)-9818779066,5.0,1,"B-25, South Extension 2, Delhi - 110049, Aiims"
Babloo Colour Camp,+(91)-9891239485,0.0,0,"9/48, 32a, Govd Baithak, Old Filmpur, Gandhi Nagar, Delhi - 110031"
Ag Design,+(91)-9818314090,0.0,0,"D-69, Block D, Gulmohar Park, New, Delhi - 110049"
Artisan Crafts,+(91)-11-22181709,0.0,0,"K4/68, Street No30, West Ghonda, Bhajan Pura, Delhi - 110053"
Virndavan Handloom,+(91)-9213106216,0.0,0,"C-396, Main Market, Bhajanpura, Main Market, Delhi - 110053"
Nissan Handi Craft,+(91)-9910920753,0.0,0,"X1/60a, Fhath Sing Marg, Budh Bazar Road, Block A, Brahampuri, Shahdara, Delhi - 110053"
Bling Creative Work,+(91)-9211534340,0.0,0,"31, Pocket 3, Sector 19 Dwarka, Dwarka, New, 205 Delhi Road, Delhi - 110031"
Urmila Textile,+(91)-9891418447,0.0,0,"Church Subhash Market, Old Seelampur, Old Seelampur, Shanti Mohalla, Delhi - 110031"
Chanda Prabhu Enterprises,+(91)-9313449072,0.0,0,"9/5166, Church Nem Singh Market, Old Seelampur, Old Seelampur, Shanti Mohalla, Delhi - 110031"
Vikash Collar Shop,+(91)-11-65792171,0.0,0,"6553 Lal Bati Chowk, Gandhi Nagar, Delhi - 110031"
Rehman Handicrafts,+(91)-9350580694,0.0,0,"B-411, gali no. 18, Delhi - 110094, near kabristaan"
Mir Asian Crafts,+(91)-9810825696,0.0,0,"M22 V Ii, New, Lajpat Nagar, Delhi - 110024"
I P Engineering Contact Com..,+(91)-124-2343963,0.0,0,"879, Udyog Vihar, Phase-V, Udyog Vihar, Gurugram, Gurgaon - 122016"
Samar Handicraft,+(91)-9718970196,0.0,0,"S676, Block S, Brahampuri, Shahdara, Delhi - 110053"
Seela Craft,+(91)-9811391814,0.0,0,"Shop No:X/2525, Gali Number :8, Raghwarpura Main Road, Seelampur, Shahdara, Raghubarpura, Delhi - 110031"
Raja Art,+(91)-9891774691,0.0,0,"Gandhi Nagar, Delhi - 110031, Near Mahavir Chowk"
Novelty Art Gallery & Cosme..,+(91)-9015732580,0.0,0,"F14, Dayalpur, Main Road, Karawal Nagar, Delhi - 110094"
Royal Enterprises,+(91)-9136317822,0.0,0,"C block 48/26, street no 14/5, New Seelampur, Delhi - 110053, nearest nuraani mazaid chauchan bander"
The House Hold Gift Gallery,+(91)-11-41823886,0.0,0,"Shop no.4, 1,Birbal Road,, Jangpura Extention, Delhi - 110014, Near Birbal Park"
Innovative Handicrafts,+(91)-9811365866,0.0,0,"Shop No. C224, Number 10, Chauhan Banger, Jafrabad, Street, Delhi - 110053"
Sanduq,+(91)-11-43025218,0.0,0,"2, Nizamuddin East Market, Block C, Delhi 110003, New Delhi, Delhi 110013, Delhi - 110003"
Adeena Impex,+(91)-11-29814750,0.0,0,"C131, Mandk Low Company, Tangpura, Jangpura, New, Central Road, Bhogal, Delhi - 110014"
Naqsh Handicrafts,+(91)-9910088250,0.0,0,"Shiva Market, Bhogal, New, R/46 Masjid Road, Jangpura, Delhi - 110014"
Lakshmi Handicrafts,+(91)-11-24050482,0.0,0,"F 314, Lado Sarai, Delhi - 110030"
Khushi Craft,+(91)-9891967828,0.0,0,"2, Temple Road, Jangpura, New, Bhogal, Delhi - 110014"
Fresh Colours A Reflection ..,+(91)-9212587934,4.4,9,"B-6/6, Lal Quarter, Krishna Nagar, Delhi - 110051, Near Raghunath Mandir"
Luthra Handloom,+(91)-9899638191,0.0,0,"8, Mcd Shop, Pushpa Market, Central Market, New, Delhi - 110024"
Ashoka Tracer,+(91)-9818083929,0.0,0,"LAL Quarter,Krishna Nagar, Main Road, Krishna Nagar, Delhi - 110051"
Ebooni,+(91)-9868714572,0.0,0,"Krishna Gali Number 7, Shahdara, Maujpur, Delhi - 110053"
Thakur J Handloom,+(91)-8860444415,0.0,0,"4th Floor, C195, New Layal Pur Colony, Krishna Nagar, Delhi - 110051"
Chintamani Papermart LTD,+(91)-11-22525121,4.3,10,"G 73 2nd Floor Vikas Marg,Lakshmi Nagar, Laxmi Nagar, Delhi - 110092, Nr Waila Nurshing Home"
Forever Zoe Handicraft Pvt...,+(91)-9891003853,0.0,0,"Shop: 1/57 old double storeu, Amar colony, Lajpat Nagar 4, Delhi - 110024, Near jd saloon"
Mahalakshmi Central Cottage..,+(91)-8800715534,0.0,0,"F 315, Ladosarai, New, Delhi - 110030, Near Shiv Mandir"
S S Rexine Material,+(91)-9910469528,0.0,0,"2/741, Gali No 16, Old , New, Mustafabad, Delhi - 110094"
Mcalista,+(91)-8467819990,0.0,0,"H74, New, Malviya Nagar, Delhi - 110017"
Kavanah,+(91)-9560071059,0.0,0,"S-290, Lower Ground Floor, Gk -1, New, Delhi - 110048"
Jai Durga Toy & Gift Shop,+(91)-9868381070,4.0,1,"Shop no. 3, Pink town house market, DLF City Phase 3, Gurgaon - 122010, Opp U -25/24"
G D Handicrafts,+(91)-9210219439,0.0,0,"505, Anach Hanuman Mandir, Chota Bazar, Shahdara, Delhi - 110032"
Ishwar Impex,+(91)-9810437799,0.0,0,"B44, Panchsheel Enclave, New, Saket, Delhi - 110017"
Creativity International In..,+(91)-11-22831404,0.0,0,"125/E, Hariom Street Babarpur, Shahdara, Shahdra, New Delhi, Shahdara, Delhi - 110032"
Manish Handloom,+(91)-11-22482296,0.0,0,"S625, School Bolck, New, Shakarpur, Delhi - 110092"
Sunrise Handicrafts,+(91)-9811525584,0.0,0,"4/2982, Shalimar Park, Street No 4, Shahdara, Delhi - 110032"
kagaj and kalam,+(91)-7042754756,0.0,0,"F-10/2, Main Road Mangal Bazaar, Laxmi Nagar, Delhi - 110092, subhash chowk"
Craft Par Excelnce,+(91)-9894946131,0.0,0,"E-549,, Greater Kailash, Delhi - 110048"
Prika,+(91)-8587889449,0.0,0,"V-26/6, Dlf Phase-3, Gurugram, Gurgaon - 122002"
Ananya Creations,+(91)-9643619943,0.0,0,"J3/71 Upper Ground Floor, Khirki Extension, New, Malviya Nagar, Delhi - 110017"
Khushboo Communication And ..,+(91)-11-26343363,0.0,0,"206 Jeewan Nagar, Main Market, Ring Road, Hari Nagar Ashram, Delhi - 110014, Near Tikona Park"
Wrap Chic,+(91)-11-29993111,3.9,12,"162 2nd Floor, Pocket B Mount Kailash,East Of Kailash, Delhi - 110019"
Caricature Artist In Delhi,+(91)-9990014163,0.0,0,"D354, Ganesh Nagar, New, Pandav Nagar, Delhi - 110092"
Classic Handicraft,+(91)-8750390651,0.0,0,"A1/3751, Main Sehkari Bank, Loni Road, Shahdara, Delhi - 110032"
India Marble,+(91)-9015945090,0.0,0,"426, Mehrauligurgaon Road, New, Ghitorni, Delhi - 110030"
Al-Jayeb Fashion,+(91)-11-22755920,0.0,0,"B252, Mayur Vihar Phase I, Mayur Vihar Phase I, Idgah Road, Delhi - 110092"
Aadhar Creations,+(91)-9871124464,0.0,0,"33/34, Jheel Main Road, Delhi - 110051, Near Red Light"
The Lazy Owl Designs,+(91)-9953396972,0.0,0,"Greater Kailash - II, delhi - 110048, Delhi"
Bhaskar Handicrafts,+(91)-9654709756,0.0,0,"D59, Movie Magic Cinema Road, Loni, Ghaziabad - 201102"
Draz Fashion Closet,+(91)-9650867100,0.0,0,"3/12, Acharya niketan, Mayur Vihar Phase 1, Delhi - 110091, in front of bansal sweets"
Rashtriya Hastshilpi Samach..,+(91)-9015171623,0.0,0,"244/4, No.5, Madan Puri, Gurugram, Street, Gurgaon - 122001"
Komal Handicraft,+(91)-9810477916,0.0,0,"Indrapuri,Vikas Kung, Loni, Ghaziabad - 201102"
Anantaya,+(91)-9313616284,0.0,0,"6, Dlf Phase 1, Sector 26, Gurugram, Gurgaon - 122002"
Guru Threads,+(91)-11-26470090,0.0,0,"9/982, Govindpuri, Kalkaji,, Kalkaji, Delhi - 110019"
Shri Rkg Traders,+(91)-124-2327767,0.0,0,"192/6, Old Railway Road, Lane, Jacobpura, Gurgaon - 122001, Opp Syndicate Bank"
Concept Handicrafts,+(91)-124-4381090,0.0,0,"K-5-A/6, D L F-2,, Gurgaon - 122001"
Stalwart Exports Private Li..,+(91)-124-2455287,0.0,0,"410-411,, Phase-4, Udyog Vihar,, Gurgaon - 122001"
Diamond Marble Palace,+(91)-9310582182,0.0,0,"D 37, Loni, Ghaziabad - 201102, Rameshwar Park"
Craft India,+(91)-11-26984249,0.0,0,"373e/22, Zakir Nagar-Jamia Nagar, Delhi - 110025, Zakir Nagar,"
Skin Craft,+(91)-11-26224266,0.0,0,"458/6, 1st Floor, New, Govindpuri, Delhi - 110019"
Gift Center,+(91)-124-3017770,3.8,4,"Shop. 44, 45, 0, Gurgaon Sector 14, Gurgaon - 122001, HUDA Market"
Kentavr Crafts,+(91)-9350484490,0.0,0,"New B75/A, Patparganj, I P Extension, Patparganj, Vinod Nagar, Delhi - 110092"
Dakshayani SALES,+(91)-8130644502,0.0,0,"Shop No . M -13, Main road, Kalkaji, Delhi - 110019, Ground floor left side near L block grudwara."
Kalpahome,+(91)-9811045076,0.0,0,"Rz, 2039, Tuglakabad Extention, Delhi - 110019"
Tamanna Gift Shop,+(91)-11-32229360,0.0,0,"SHOP NO -45, Main DEVLI ROAD, Khanpur, Delhi - 110062, Near PNB Bank"
Kraftzkart,+(91)-9205299282,0.0,0,"#82, Khizrabad Village, New, New Friends Colony, Delhi - 110025"
AVS Brake Linings Pvt Ltd,+(91)-124-2321089,2.0,1,"Mehrauli Road, Gurgaon - 122001, Old Dlf"
Authentic Crafts,+(91)-9899794846,0.0,0,"B - 153, DLF City Phase 4, Gurgaon - 122002, Super Mart 1"
Nazar Protection Centre,+(91)-9711752946,0.0,0,"1st Floor, Edm Mall, Ghaziabad - 201010"
Karishma Boutique,+(91)-9810843116,0.0,0,"Shop no-110/111, Freedom fighter colony, Neb Sarai, Delhi - 110068, Near pizza corner"
Pawancrafts,+(91)-9212710834,0.0,0,"A-64, F-3, Ramprastha Colony, Ghaziabad - 201011"
Craft Tradition,+(91)-124-4377022,4.0,23,"Galaxy Hotel, Nh-8 Exit , Sector 15, Sector 15, Gurgaon - 122001, Part II"
Chalotra WOOD CRAFT & Inter..,+(91)-9540167502,0.0,0,"Rz1/11, Gali No, Tughlakabad Extension, Delhi - 110019"
Patt - Kraft India,+(91)-9810082557,0.0,0,"14-1st Floor, D S I D C, Okhla Industrial Phase-Ii, Scheme-Iii, New, D S I D C, New, Okhla, Delhi - 110020"
Mohit thukral Custom Shop,+(91)-9910373723,4.7,3,"Shop No.7&8, Dilshad Colony, Delhi - 110095, Near suraksha nursing home"
Shagun Manisha,+(91)-9810262880,0.0,0,"B, 183, Gurugram, New Colony Road, Gurgaon - 122001"
Needle Craft,+(91)-9818510565,0.0,0,"Gf 26, Devika Tower, Chander Nagar, Ghaziabad - 201011"
Sai Handlom,+(91)-9810352436,0.0,0,"Shop No.58, Gali Number 4, Sahibabad, Shyam Park Main, Rajendra Nagar, Ghaziabad - 201006"
Giantroots,+(91)-9599182901,0.0,0,"101, Us Complex, Jasola Apollo, New, Delhi - 110076, Opposite Apollo Hospital"
IndiARTcare,+(91)-7503731806,0.0,0,"B-268, Mian Wali Colony, Gurgaon - 122001, Near Ram Mandir"
Aryan Craft Pvt Ltd,+(91)-120-4251021,0.0,0,"Shop No.G 7, I Area, G Block, Sector 6, Udhyog Marg, Noida - 201301"
Mcgd Zines Pvt Ltd,+(91)-11-26810755,0.0,0,"D-137, Okhla Industrial Area Phase-I, Okhla Industrial Area Phase-I, New, Delhi - 110020"
Design & Craft For Everyone,,0.0,0,"Noida Complex, Complex, Noida - 201301"
Tanisha Handicrafts,+(91)-9868965863,5.0,1,"Noida - 201301, Choori Mkt Dhangel,Nr To Sec-82"
Shyam Lal Kitchen Craft,+(91)-9582750987,0.0,0,"Main road, Vaishali Sector 2, Ghaziabad - 201010, Near ram Vatika park"
Heaven Point Gift Gallery,+(91)-9555032744,0.0,0,"A/1300, G.d. Colony,, Mayur Vihar Phase-2, Mayur Vihar Phase 2, Delhi - 110091"
Handicraft Collections,+(91)-9560511331,0.0,0,"5th Floor, Sb Towers, Sector 16 A, Noida - 201301"
The Clay Hut,+(91)-8826045056,0.0,0,"G-1705, Crossings Republik, Ghaziabad - 201010"
Bhagwati Handloom,+(91)-9818387918,0.0,0,"G.D Block, Gd Colony, Gharoli, Mayur Vihar Phase Iii, Main Bazar Road, Delhi - 110096"
Eskon engg works,+(91)-9958004676,0.0,0,"E-47, Sector -9 road, Sector 9, Noida - 201301, Near bank of India"
Mamta  Craft Second,+(91)-9818688664,0.0,0,"B-150,, Sector 63, Noida - 201307, Gautam Budh Nagar,"
Shiv Craft Paper Pvt Ltd,+(91)-9810474800,0.0,0,"D 218,I Area, Sector 63, Noida - 201301"
Chisell Effects,+(91)-9717888421,0.0,0,"D-136,Sector 63, Noida - 201301"
Orient Craft Limited,+(91)-11-26813511,0.0,0,"F-8, Okhla Industrial Area Phase 1, Delhi - 110020"
Anjali handicrafts,+(91)-9910791743,0.0,0,"Shop no-15, Plot -134, Noida - 201301, Sarla tower"
Mushkis Creations Pvt Ltd,+(91)-9810092900,0.0,0,"A-13, Sector 57, Noida - 201301, G B Nagar"
Sma Gifts & Handicraft Item,+(91)-11-29942384,0.0,0,"Shop Nog77, Shaheen Bagh, New, Jasola Vihar, Delhi - 110025, Near District Center"
Indian Creative Crafts,+(91)-9910129201,0.0,0,"F-90/1, ESI ROAD, Okhla Industrial Area Phase 1, Delhi - 110020, NEAR ESI HOSPITAL"
Indya Genius,+(91)-120-2562108,0.0,0,"108 A, Pocket C; Express View Appartment, Noida Expressway;, Sector 105, Noida - 201301, Opposite High Court Judges Colony"
Glorious Gift..,+(91)-9891224941,0.0,0,"Shop-I-25/22, Main road.,, Sector 12, Noida - 201301, Opp Metro Hospital.,"
Grassleaf,+(91)-9953605114,0.0,0,"B Block, Pocket B, Sector 27, Noida - 201301"
Shyam Handlom,+(91)-9771684746,0.0,0,"Girdhar Enclave, Prakash Industrial Estate, Sahibabad Industrial Area Site 4, Sahibabad, Gt Road, Ghaziabad - 201006"
Radha Cosmetics & Gift Shop,+(91)-7503922492,4.0,3,"K-21, Gali Number 2,bishanpura, Sector 58, Noida - 201301, Near wine shop"
Gift Shoppe,+(91)-9811714512,0.0,0,"1077, Niti Khand 1, Indirapuram, Ghaziabad - 201014, Near orange county"
People & Craft,+(91)-9311594343,0.0,0,"1 St Fl. 9/ 221 Sec 3 Arvind Road, Rajendra Nagar, Sahibabad - 201005"
Kiara Crafts,+(91)-9136136000,0.0,0,"Mayfield Garden, 2nd Floor, Sector 51, Gurugram, Gurgaon - 122018"
Handlooms India,+(91)-9810267502,0.0,0,"692, Pace City Ii, Sector 37, Gurugram, Gurgaon - 122001"
Shuttersoff,+(91)-9910140652,0.0,0,"B-125, B Block, Sector 36, Noida - 201301"
Anmol Handicrafts,+(91)-9891924861,0.0,0,"F5, Mittal Colony, Pul Pehlad Pur Badarpur, New, Main Lakkarpur Road, Delhi - 110044, Near Budh Bazar Chok"
Sd Crafts,+(91)-9873308379,0.0,0,"A3, Raj View, 9/99, Sector3, Rajender Nagar, Sahibabad, Mohan Nagar, Ghaziabad - 201007"
Posh Pishwee,+(91)-9910207819,0.0,0,"Hcl Towers, Rasoolpur Nawada, Industrial Area, Sector 62, Noida - 201309"
Kala Vriti,+(91)-9560438176,0.0,0,"A131, Nirvana Coutyard, South City 2, Gurgaon - 122001, Nirvana Country"
Srijaan Crafts,+(91)-9911426795,0.0,0,"Shop no-04,Haat Bazaar, Gate no-1,Jaipuria Sunrise Mall, Indirapuram, Delhi - 201014, Near-Bikanervalla"
The Craft Lounge,,0.0,0,"31/1, Aster Building, Vatika City, Gurgaon - 122001, Sector-49"
Ajay Handicrafts,+(91)-9971608770,3.5,1,"Main Dadri Road..., Barola-Noida Sector 49, Noida - 201304, Near  SBI BANK"
Lamba School Mart,+(91)-9811111384,0.0,0,"E-22, Patel Nagar, Ghaziabad - 201003, Near Chaudhary Chhabilal School, GDA Market, Patel Nagar-2"
Rahul Handi Craft,+(91)-9540703010,0.0,0,"Sec Banjare Wali Gali, 12, Vijay Nagar, Ghaziabad - 201009"
Seema Hendicraft,+(91)-9818893585,0.0,0,"330 A, Turab Nagar, Ghaziabad - 201001"
States29 Handicrafts,+(91)-9818255507,0.0,0,"Panchsheel Square, 207 2nd Floor, Crossings Republik, Sain Vihar, Ghaziabad - 201009"
Shiv Pet Home,+(91)-9643424505,0.0,0,"Shop no.3, Crossing Republik, Delhi - 201016, Galleria"
Himgiri Peach Finish,+(91)-9990523958,0.0,0,"13/1, Mathura Road, Mathura Road, Faridabad - 121002"
Feel India,+(91)-129-5066545,0.0,0,"Sector-7/B,, Faridabad - 121001"
Chand International,+(91)-129-2267120,0.0,0,"54, Housing Board, Sector-18,, Faridabad - 121001"
Elegance International,+(91)-129-5007294,0.0,0,"E-1/80, Sector-11,, YMCA Road,, Faridabad - 121001"
Goel Exports,+(91)-124-4393900,0.0,0,"Plot Number- 82 sector -4, Imt Manesar, Gurgaon - 122052, Near By Manesar Club"
Blue Mech Engg Co,+(91)-129-2287388,0.0,0,"993, Sector 15, Sector 15, Faridabad - 121007"
Kalsi Variety Shop & tracin..,+(91)-9910518684,0.0,0,"82/1, Gurudwara Road, Jawahar Colony, Faridabad - 121005, Jawahar Clny"
Sonia Gift & Craft Shop,+(91)-9210101243,0.0,0,"8/91, Faridabad - 121001, Sari Hussani"
Rajhasthan Handloom,+(91)-9899382448,0.0,0,"699/32, Gurudwara Road, Jawahar Colony, Faridabad - 121005"
Kashmiri Handlooms Handicra..,+(91)-9810321986,0.0,0,"Shop.No.6a,Ist Floor, Galaxy Plaza, Gour City 1, Greater Noida West, Noida - 201306"
Amir Handicraft,+(91)-7895555740,0.0,0,"Vikas Takij, Adarsh Colony, Main Road, Murad Nagar, Ghaziabad - 201206"
Raaga Buying,+(91)-9654271164,0.0,0,"A2/245, Himsagar Appartment, Plot No. 11, Pkt. P4, Builders Area, Landmark :, Greater, Noida - 201310, Near International Expo Centre"
Awwstruck.com,+(91)-7838998383,0.0,0,Noida - 201308
Krishna Gift Emporium,+(91)-8178484094,0.0,0,"Shop No.10, Basement Satyam Complex, Alpha-2, Greater, Noida - 201310"
Unique Collections,+(91)-9718407240,5.0,1,"Shop No-14,Kadamba Complex, Greater Noida, Noida - 201310, Gamma-1st"
Sarjeet Decor,+(91)-9650977464,0.0,0,"Shop no-G, Ground Floor, Noida - 201008, Sab Mall"
Mahalaxmi Art & Crafts Inst..,+(91)-9897401099,0.0,0,"A-2/44, Modi Nagar, Ghaziabad - 201204, Alok Park"
Neerah Craft,+(91)-9350004580,0.0,0,"E 1511, Jahangir Puri, New, Delhi - 110085"
Anand Art & Crafts,+(91)-9810229686,0.0,0,"T 100, General Market, Pharganj, Sadar Bazaar, Sadar Bazaar, New, Delhi - 110006"
Crystal Craft,+(91)-11-23944896,0.0,0,"504, Ground Floor, Krishna Gali, Karta Neel, New, Chandni Chowk, Delhi - 110006"
Feel Fashions Limited,+(91)-9810370898,0.0,0,"N5, Ashirwad Biulding, Shah Pur Jaat, New, South Extension, Delhi - 110049"
Snapdeal.com,+(91)-9212692126,3.9,25,Mumbai  (Also serves DELHI)
Amazon.in,180030009009,4.0,76767,
Flipkart.com,18002089898,4.0,119236,Mumbai  (Also serves DELHI)
